Date,"Locality, district, or province",Mag.,MMI,Deaths,Injuries,Notes
"2022-
06-24",Khyber Pakhtunkhwa,"4.2
Mw",VII,,,Five killed in Afghanistan
"2022-
06-21","Durand Line, Khost Province, Afghanistan","6.0
Mw",VIII,13,27,"Heavy damage. Over 1,100 killed in Afghanistan."
"2022-
05-06","Khuzdar, Balochistan","5.2
Mw",VI,,1,Moderate damage
"2022-
03-16",Gilgit- Baltistan,"5.1
Mw",VII,1,9,Minor damage
"2021-
12-27",Gilgit- Baltistan,"5.2
Mw",V,,9,Severe damage
"2021-
10-07","Harnai, Balochistan","5.9
Mw",VII,27,300,Severe damage
"2019-
10-06","New Mirpur, Azad Kashmir","3.6
Mw",IV,1,10,Casualties due to a house collapse
"2019-
09-24","New Mirpur, Azad Kashmir","5.6
Mw",VII,40,852,Severe
"2018-
01-31","Lasbela, Balochistan","4.7
Mw",V,1,9,
"2018-
01-30",Badakhshan,"6.1
Mw",,1,9-11,
"2015-
12-25",Gilgit- Baltistan Khyber Pakhtunkhwa,"6.3
Mw",V,4,100,
"2015-
10-26",Badakhshan,"7.5
Mw",VII,399,"2,536",
"2015-
07-24",Islamabad,"5.1
Mw",V,3,,
"2014-
05-08",Sindh,"4.5
Mw",,2,50,
"2013-
09-28","Awaran District, Balochistan","6.8
Mw",VII,22,,Aftershock.
"2013-
09-24","Awaran District, Balochistan","7.7
Mw",IX,825,700,
"2013-
04-16",Balochistan,"7.7
Mw",VIII,34,105,
"2011-
01-18","Dalbandin, Balochistan","7.2
Mw",VI,3,some,
"2010-
10-10","Haripur, Northwest","5.2
Mw",V,1,15,Moderate damage
,Frontier Province,,,,,
"2008-
10-29","Ziarat District, Balochistan","6.4
Mw",,215,200,
"2005-
10-08","Azad Kashmir, Balakot","7.6
Mw",XI,"86,000–
87,351","69,000–
75,266","Extreme damage in Azad Kashmir, Balakot town almost completely destroyed and Muzaffarabad suffering heaviest number of casualties. Deadliest earthquake in South Asia, epicentre centred on the Jhelum Fault Zone."
"2004-
02-14","Battagram, Khyber Pakhtunkhwa","5.5
Mw",VIII,24,63,
"2002-
11-02","Battagram, Khyber Pakhtunkhwa","5.4
Mw 6.3
Mw",VIII,41,168,Doublet
"1997-
02-27",Balochistan,"7.0
Mw",VIII,57,,
"1992-
05-20","Kohat Division, North West Frontier","6.0
Mw",VII,36,100,Moderate
"1983-
12-31",Gilgit- Baltistan,"7.2
Mw",VII,12–26,60–483,Severe
"1981-
12-09",Gilgit- Baltistan,"5.9
Mw",,220,,
"1974-
12-28",Khyber Pakhtunkhwa,"6.2
Mw",,"5,300","17,000",
"1972-
09-03","Peshawar, Khyber Pakhtunkhwa","6.2
Mw",VIII,100,,
"1945-
11-28","Makran Coast, British Baluchistan","8.1
Mw",X,"300–
400",,Tsunami
"1935-
05-31","Ali Jaan, Balochistan",7.7,X,"30,000–
60,000",,
"1931-
08-27","Mach, Balochistan",7.4,,,,
"1931-
08-24","Sharigh Valley, Balochistan",7,,,,
"1909-
10-21","Sibi, Balochistan",7,,100,,
"1892-
12-20","Qilla Abdullah, Balochistan",6.8,,,,Chaman Fault
"1885-
05-30","Srinagar, Kashmir","6.3–
6.8",VIII,"3,000",,
1865-,Peshawar,6,,,,
01-22,,,,,,
"1852-
01-24","Kahan, Balochistan",8,,,,
"1827-
09-24","Lahore, Punjab",7.8,,"1,000",,
"1819-
06-16","Allahbund, Sindh","7.7–
8.2
Mw",XI,">1,543",,Tsunami
"1668-
05-02","Shahbandar, Sindh",7.6,,"50,000",,
"1555-
09-",Kashmir,"7.6–
8.0
Mw",,"600–
60,000",,
